group_id,mae,rmse,n_points,group_label
197,0.05316248255428905,0.07999008512170003,32688,Northern Finland | Pohjois-Pohjanmaa | Oulu | Private | Flat/Hybrid | Medium
402,0.05625212431366404,0.08005975543028475,32688,Southern Finland | Uusimaa | Espoo | Private | Spot Price | Medium
387,0.059896605048442235,0.08414276574297823,32688,Southern Finland | Uusimaa | Espoo | Enterprise | Portfolio | Low
385,0.06421227915338469,0.09208674847092259,32688,Southern Finland | Uusimaa | Espoo | Enterprise | Fixed Price | Low
295,0.0643183316445375,0.09334566752937563,32688,Southern Finland | Kanta-Häme | Kanta-Häme | Enterprise | Variable Price | Low
573,0.06506753462378914,0.09809969812817294,32688,Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Enterprise | Variable Price | Low
538,0.0669102702016718,0.1043236772926361,32688,Southwestern Finland | Varsinais-Suomi | Varsinais-Suomi_Others | Enterprise | Variable Price | Low
625,0.07279043519613536,0.10438428801182957,32688,Western and Inland Finland | Keski-Suomi | Jyväskylä | Private | Spot Price | Medium
43,0.07026799305263068,0.10448463679207473,32688,Eastern Finland | Pohjois-Karjala | Joensuu | Private | Variable Price | Medium
36,0.0686667421468966,0.10509606000880715,32688,Eastern Finland | Pohjois-Karjala | Joensuu | Enterprise | Variable Price | Low
348,0.0742575151306687,0.1053304785477085,32688,Southern Finland | Päijät-Häme | Lahti | Private | Spot Price | Medium
73,0.0646147968716028,0.10836952694882221,32688,Eastern Finland | Pohjois-Karjala | Pohjois-Karjala | Private | Flat/Hybrid | Medium
225,0.07600114899277942,0.10891418232216385,32688,Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Enterprise | Variable Price | Low
200,0.07552392563286597,0.11087045290686279,32688,Northern Finland | Pohjois-Pohjanmaa | Oulu | Private | Spot Price | Medium
149,0.07591484697199832,0.12440064393028184,32688,Lapland | Lappi | Lappi | Private | Flat/Hybrid | Medium
