group_id,mae,rmse,n_points,group_label
580,115.49049079599423,182.1961185108856,33,Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Private | Flat/Hybrid | Medium
30,129.56933297744405,185.87683965998127,33,Eastern Finland | Etelä-Savo | Etelä-Savo | Private | Spot Price | Medium
659,137.86882828309203,195.0648266140841,33,Western and Inland Finland | Keski-Suomi | Keski-Suomi_Others | Private | Spot Price | Medium
380,140.27760138143643,199.06403089818002,33,Southern Finland | Päijät-Häme | Päijät-Häme_Others | Private | Spot Price | Medium
76,141.06739139052408,200.03736532553498,33,Eastern Finland | Pohjois-Karjala | Pohjois-Karjala_Others | Private | Spot Price | Medium
394,218.50894385719084,270.74083180479187,33,Southern Finland | Uusimaa | Espoo | Enterprise | Variable Price | Medium
152,219.11332475085302,283.5532920003421,33,Lapland | Lappi | Lappi | Private | Spot Price | Medium
305,232.3446716095067,321.24150454159206,33,Southern Finland | Kanta-Häme | Kanta-Häme | Private | Spot Price | Medium
395,250.08242708753167,336.58151142824,33,Southern Finland | Uusimaa | Espoo | Private | Fixed Price | High
391,320.13594053001236,416.346473008751,33,Southern Finland | Uusimaa | Espoo | Enterprise | Spot Price | Medium
581,338.18561706372446,472.6326171444346,33,Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Private | Spot Price | High
400,351.2799662561034,474.61479862763133,33,Southern Finland | Uusimaa | Espoo | Private | Spot Price | High
198,352.31839643446045,482.0992170224706,33,Northern Finland | Pohjois-Pohjanmaa | Oulu | Private | Spot Price | High
233,360.09218509687804,493.55377269583295,33,Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Private | Spot Price | High
403,478.7618639158388,592.3968949709191,33,Southern Finland | Uusimaa | Espoo | Private | Variable Price | High
657,658.6357104178439,937.8106858812575,33,Western and Inland Finland | Keski-Suomi | Keski-Suomi | Private | Spot Price | High
74,658.3984214324828,957.5635025442278,33,Eastern Finland | Pohjois-Karjala | Pohjois-Karjala | Private | Spot Price | High
693,682.7077152462206,977.0571499779688,33,Western and Inland Finland | Pirkanmaa | Pirkanmaa | Private | Spot Price | High
28,711.3446808486179,1013.1120294949815,33,Eastern Finland | Etelä-Savo | Etelä-Savo | Private | Spot Price | High
303,730.6726097414714,1018.8097477766039,33,Southern Finland | Kanta-Häme | Kanta-Häme | Private | Spot Price | High
150,782.744274561,1021.3257733777084,33,Lapland | Lappi | Lappi | Private | Spot Price | High
378,731.5955495291108,1039.5908432133292,33,Southern Finland | Päijät-Häme | Päijät-Häme | Private | Spot Price | High
